Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx.2.5,BbAv.2.5,BbMx.2.5.1,BbAv.2.5.1,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC2,05/08/17,Albion Rvs,Ayr,1,5,A,0,3,A,5.25,4,1.6,4.75,4,1.53,4.75,3.75,1.6,4.8,3.6,1.61,5.31,4.03,1.68,5,3.8,1.67,4.5,4,1.67,37,5.31,4.76,4.25,3.82,1.68,1.62,32,1.86,1.78,2.02,1.95,13,0.75,2.05,2,1.88,1.8,5.68,4.19,1.63
SC2,05/08/17,Alloa,Raith Rvs,1,1,D,1,0,H,2.6,3.3,2.63,2.6,3.3,2.35,2.45,3.25,2.55,2.5,3.2,2.55,2.72,3.38,2.73,2.5,3.3,2.8,2.6,3.5,2.63,37,2.72,2.51,3.65,3.3,2.8,2.57,33,1.96,1.82,2,1.9,15,0,1.94,1.88,1.97,1.93,3.1,3.61,2.32
SC2,05/08/17,Arbroath,Queens Park,2,0,H,1,0,H,2.15,3.4,3.3,2.1,3.3,3,2.05,3.25,3.2,2.1,3.2,3.2,2.17,3.42,3.62,2.1,3.3,3.5,2.15,3.4,3.4,38,2.17,2.09,3.42,3.3,3.62,3.21,36,2.02,1.92,1.95,1.81,15,-0.25,1.88,1.83,2.04,1.97,2.16,3.66,3.4
SC2,05/08/17,Forfar,Airdrie Utd,2,1,H,1,0,H,2.5,3.4,2.7,2.25,3.7,2.5,2.3,3.4,2.6,2.37,3.3,2.62,2.51,3.59,2.83,2.4,3.5,2.8,2.4,3.6,2.8,37,2.51,2.36,3.8,3.41,2.83,2.67,32,1.68,1.64,2.28,2.15,15,0,1.83,1.78,2.11,2.04,2.4,3.77,2.87
SC2,05/08/17,Stranraer,East Fife,1,0,H,0,0,D,2.15,3.4,3.25,2,3.5,3.1,2.05,3.35,3.1,2.1,3.2,3.2,2.16,3.49,3.57,2.1,3.5,3.3,2.15,3.4,3.4,37,2.17,2.08,3.8,3.37,3.57,3.18,36,1.95,1.88,1.96,1.85,15,-0.25,1.88,1.82,2.05,1.98,2.21,3.37,3.56
SC2,12/08/17,Airdrie Utd,Arbroath,1,1,D,0,1,A,2.5,3.5,2.63,2.25,3.5,2.65,2.4,3.3,2.55,2.45,3.3,2.6,2.66,3.77,2.57,2.5,3.4,2.75,2.5,3.5,2.75,39,2.66,2.44,3.77,3.37,2.8,2.6,33,1.75,1.7,2.16,2.05,16,0,1.88,1.83,2.02,1.97,2.99,3.8,2.31
SC2,12/08/17,Ayr,Forfar,3,0,H,2,0,H,1.62,4,5,1.6,3.9,4.4,1.6,3.85,4.3,1.61,3.8,4.6,1.66,4.23,5.17,1.67,4,4.8,1.67,4,5,39,1.67,1.64,4.23,3.88,5.17,4.54,33,1.64,1.58,2.31,2.25,15,-1,2.18,2.12,1.78,1.7,1.58,4.54,5.68
SC2,12/08/17,East Fife,Alloa,1,0,H,0,0,D,2.75,3.4,2.45,2.4,3.4,2.5,2.6,3.2,2.45,2.62,3.2,2.45,2.91,3.34,2.58,2.75,3.4,2.5,2.75,3.4,2.55,39,2.91,2.66,3.4,3.23,2.63,2.48,33,1.94,1.84,1.95,1.89,16,0,2.06,1.97,1.91,1.83,3.47,3.61,2.15
SC2,12/08/17,Queens Park,Albion Rvs,2,5,A,1,2,A,2,3.5,3.6,1.95,3.4,3.3,1.95,3.25,3.5,1.95,3.2,3.6,2.06,3.59,3.75,2,3.4,3.75,2.05,3.4,3.75,39,2.06,1.97,3.59,3.34,3.75,3.5,37,2.11,2.01,1.81,1.74,15,-0.5,2.07,2,1.85,1.8,2.07,3.56,3.75
SC2,12/08/17,Raith Rvs,Stranraer,3,0,H,1,0,H,1.57,4,5.5,1.5,4.1,5,1.6,3.7,4.85,1.61,3.6,4.8,1.67,3.97,5.55,1.62,3.8,5.5,1.65,4,5.25,39,1.67,1.61,4.1,3.74,5.55,4.92,33,1.91,1.8,2,1.93,15,-1,2.22,2.11,1.75,1.71,1.61,4.1,6.01
